name,reported_exact_top1,pred1_exact_canon,pred10_exact_canon,proposal_exact_canon,pred1_formula_match,all_pred_formula_match,raw_duplicate_pred_count,canon_duplicate_pred_count,proposal_position_in_predictions
MassSpecGymID0001409,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001410,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001411,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001412,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001413,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001459,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0001460,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0001461,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001462,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001463,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001464,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0001465,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001466,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0001467,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0001468,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0001469,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001470,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001471,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001472,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0001473,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001474,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001475,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0001476,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001477,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0001478,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001479,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0001480,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0001482,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001665,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001666,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001667,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001668,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001669,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001670,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001671,0.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0001672,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001673,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001674,0.0,False,False,False,True,False,0,0,10.0
MassSpecGymID0001902,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001903,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001904,0.0,False,False,False,True,False,0,0,6.0
MassSpecGymID0001905,0.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0001906,0.0,False,False,False,True,False,0,0,4.0
MassSpecGymID0001907,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001908,0.0,False,False,False,True,False,0,0,6.0
MassSpecGymID0001909,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001910,0.0,False,False,False,True,False,0,0,10.0
MassSpecGymID0001911,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0002110,0.0,False,False,False,True,True,0,0,1.0
