shard,n,top1,top10,tan1,tan10,mist,formula_success,avg_formula,avg_gen,gen_time_mean,gen_time_p95
shard_013,476,0.06512605042016807,0.08823529411764706,0.34111230111360047,0.3720200422900815,0.39930965352271286,0.9978991596638656,9.808823529411764,81.56302521008404,10.699715650382162,17.82944029569626
shard_014,483,0.049689440993788817,0.062111801242236024,0.32962572917064525,0.3583445250679494,0.39573140684553804,0.9917184265010351,9.509316770186336,82.27950310559007,10.93839839082327,18.581115889549253
shard_015,478,0.056485355648535567,0.07740585774058577,0.32143270768318716,0.34965781847241034,0.38146309931782,0.9874476987447699,9.518828451882845,84.5418410041841,11.358812983065969,19.996835839748382
shard_016,445,0.056179775280898875,0.060674157303370786,0.32426749794335846,0.3489147160495265,0.39342850111843497,0.9977528089887641,9.476404494382022,80.27865168539326,10.569137788622568,19.197696638107296
shard_017,481,0.15384615384615385,0.17463617463617465,0.44981334039364435,0.4769772832241227,0.5054669512780441,0.9916839916839917,9.862785862785863,85.32848232848232,14.715786239461442,26.50477600097656
shard_018,497,0.19517102615694165,0.22334004024144868,0.5769092595163485,0.5973293433786638,0.652424264256983,0.9859154929577465,10.253521126760564,88.52313883299799,17.934173071648274,32.30711832046509
shard_019,481,0.2598752598752599,0.2806652806652807,0.6154076134836352,0.6330732091982498,0.674799301783533,0.9916839916839917,10.501039501039502,87.11642411642411,18.178797716906065,37.61954879760742
shard_020,487,0.2464065708418891,0.26078028747433263,0.5766221792331956,0.5925820143377022,0.6345021392102114,0.9774127310061602,11.08624229979466,88.30800821355236,15.944059377823033,29.395828318595886
shard_021,475,0.24421052631578946,0.26105263157894737,0.5795005886178267,0.5986720346463354,0.6386648030343809,0.9705263157894737,10.018947368421053,88.29684210526315,16.685802970183524,32.24891574382777
shard_022,491,0.24643584521384929,0.26272912423625255,0.5586133330544484,0.5779221747260229,0.640973342533267,0.9389002036659878,9.989816700610998,87.83095723014257,19.366290018660475,56.3613406419754
shard_023,488,0.22540983606557377,0.26844262295081966,0.5878477058464997,0.6124070157892392,0.6315163249363664,0.9795081967213115,10.176229508196721,88.86065573770492,16.893016044722227,31.798237752914428
shard_024,483,0.08695652173913043,0.09523809523809523,0.46229801006136967,0.492365983332166,0.5328470428568729,0.9420289855072463,7.196687370600414,92.05383022774328,22.58360877046921,37.318968534469604
shard_025,500,0.0,0.008,0.6287677322030067,0.6811594623029232,0.6327006405591965,0.978,5.654,97.462,35.974297085762025,39.71973975896835
shard_026,500,0.104,0.12,0.49607909417152407,0.5208745178133249,0.5137305136024952,0.9,4.984,95.748,31.755529822826386,46.32137755155562
shard_027,500,0.002,0.006,0.32405355434119704,0.34946078541874886,0.40636986066401004,0.856,3.764,97.914,32.82590701770783,52.87001725435257
shard_028,500,0.0,0.0,0.37783563482761384,0.40297410714626314,0.472923621609807,0.79,2.916,98.384,36.750566025733946,53.535683476924895
shard_029,500,0.0,0.0,0.31445554699003697,0.33921930338442324,0.39121295484900476,0.776,3.476,97.41,32.85079165363312,42.78518494367599
shard_030,460,0.015217391304347827,0.01956521739130435,0.364217621460557,0.38733018756560655,0.49921134423626506,0.7804347826086957,3.55,97.00652173913043,33.698515106802404,58.98170174360271
shard_031,483,0.012422360248447204,0.014492753623188406,0.2947206119958535,0.31837546169819547,0.4433772944484685,0.8405797101449275,4.488612836438923,94.79503105590062,24.780006437815,35.942841100692746
shard_032,468,0.01282051282051282,0.01282051282051282,0.30678325613689983,0.3287910000444987,0.4624468815855236,0.8461538461538461,4.098290598290598,97.52136752136752,28.580304567121033,49.240948307514195
shard_033,464,0.0021551724137931034,0.004310344827586207,0.35324762933405823,0.37609319218659193,0.508148713904465,0.8017241379310345,2.831896551724138,99.45258620689656,33.8304554033896,54.074267947673796
shard_034,500,0.012,0.012,0.33753950634598734,0.3597060606777668,0.48573851862549783,0.768,3.792,95.086,35.313047316074375,76.17294635772704
shard_035,54,0.12962962962962962,0.16666666666666666,0.5541640644272169,0.5900290091004636,0.595377074347602,0.9444444444444444,8.185185185185185,89.44444444444444,19.470143914222717,32.45687304735183
