bit,threshold
628,0.18700000643730164
629,0.10000000149011612
630,0.25
631,0.05000000074505806
632,0.5
633,0.05000000074505806
634,0.5
635,0.5
636,0.25
637,0.10000000149011612
638,0.05000000074505806
639,0.25
640,0.05000000074505806
641,0.15000000596046448
642,0.05000000074505806
643,0.25
644,0.05000000074505806
645,0.05000000074505806
646,0.10000000149011612
647,0.05000000074505806
648,0.25
649,0.18700000643730164
650,0.25
651,0.25
652,0.15000000596046448
653,0.05000000074505806
654,0.30000001192092896
655,0.05000000074505806
656,0.4000000059604645
657,0.3499999940395355
658,0.05000000074505806
659,0.10000000149011612
660,0.05000000074505806
661,0.05000000074505806
662,0.20000000298023224
663,0.10000000149011612
664,0.25
665,0.3499999940395355
666,0.5
667,0.30000001192092896
668,0.3499999940395355
669,0.15000000596046448
670,0.10000000149011612
671,0.25
672,0.25
673,0.18700000643730164
674,0.05000000074505806
675,0.5
676,0.05000000074505806
677,0.10000000149011612
678,0.10000000149011612
679,0.30000001192092896
680,0.20000000298023224
681,0.25
682,0.18700000643730164
683,0.05000000074505806
684,0.3499999940395355
685,0.25
686,0.05000000074505806
687,0.15000000596046448
688,0.05000000074505806
689,0.30000001192092896
690,0.10000000149011612
691,0.18700000643730164
692,0.18700000643730164
693,0.05000000074505806
694,0.30000001192092896
695,0.4000000059604645
696,0.25
697,0.25
698,0.10000000149011612
699,0.15000000596046448
700,0.25
701,0.05000000074505806
702,0.25
703,0.25
704,0.05000000074505806
705,0.05000000074505806
706,0.05000000074505806
707,0.05000000074505806
708,0.30000001192092896
709,0.05000000074505806
710,0.15000000596046448
711,0.18700000643730164
712,0.3499999940395355
713,0.15000000596046448
714,0.05000000074505806
715,0.4000000059604645
716,0.3499999940395355
717,0.18700000643730164
718,0.05000000074505806
719,0.25
720,0.05000000074505806
721,0.10000000149011612
722,0.10000000149011612
723,0.10000000149011612
724,0.4000000059604645
725,0.4000000059604645
726,0.05000000074505806
727,0.15000000596046448
728,0.10000000149011612
729,0.15000000596046448
730,0.05000000074505806
731,0.05000000074505806
732,0.25
733,0.05000000074505806
734,0.15000000596046448
735,0.30000001192092896
736,0.10000000149011612
737,0.10000000149011612
738,0.15000000596046448
739,0.05000000074505806
740,0.05000000074505806
741,0.25
742,0.05000000074505806
743,0.18700000643730164
744,0.18700000643730164
745,0.20000000298023224
746,0.05000000074505806
747,0.18700000643730164
748,0.20000000298023224
749,0.05000000074505806
750,0.4000000059604645
751,0.5
752,0.30000001192092896
753,0.3499999940395355
754,0.18700000643730164
755,0.10000000149011612
756,0.05000000074505806
757,0.15000000596046448
758,0.30000001192092896
759,0.25
760,0.3499999940395355
761,0.25
762,0.4000000059604645
763,0.5
764,0.4000000059604645
765,0.3499999940395355
766,0.05000000074505806
767,0.10000000149011612
768,0.25
769,0.25
770,0.05000000074505806
771,0.3499999940395355
772,0.05000000074505806
773,0.25
774,0.25
775,0.10000000149011612
776,0.05000000074505806
777,0.25
778,0.25
779,0.05000000074505806
780,0.05000000074505806
781,0.4000000059604645
782,0.25
783,0.5
784,0.20000000298023224
785,0.4000000059604645
786,0.15000000596046448
787,0.18700000643730164
788,0.10000000149011612
789,0.5
790,0.15000000596046448
791,0.25
792,0.05000000074505806
793,0.25
794,0.05000000074505806
795,0.18700000643730164
796,0.05000000074505806
797,0.10000000149011612
798,0.18700000643730164
799,0.05000000074505806
800,0.15000000596046448
801,0.10000000149011612
802,0.3499999940395355
803,0.18700000643730164
804,0.3499999940395355
805,0.4000000059604645
806,0.10000000149011612
807,0.5
808,0.05000000074505806
809,0.10000000149011612
810,0.25
811,0.5
812,0.05000000074505806
813,0.05000000074505806
814,0.05000000074505806
815,0.10000000149011612
816,0.25
817,0.18700000643730164
818,0.15000000596046448
819,0.3499999940395355
820,0.05000000074505806
821,0.25
822,0.05000000074505806
823,0.5
824,0.05000000074505806
825,0.15000000596046448
826,0.20000000298023224
827,0.15000000596046448
828,0.30000001192092896
829,0.25
830,0.18700000643730164
831,0.25
832,0.25
833,0.5
834,0.10000000149011612
835,0.25
836,0.15000000596046448
837,0.10000000149011612
838,0.05000000074505806
839,0.05000000074505806
840,0.10000000149011612
841,0.30000001192092896
842,0.15000000596046448
843,0.4000000059604645
844,0.18700000643730164
845,0.4000000059604645
846,0.15000000596046448
847,0.15000000596046448
848,0.10000000149011612
849,0.3499999940395355
850,0.10000000149011612
851,0.05000000074505806
852,0.5
853,0.05000000074505806
854,0.15000000596046448
855,0.10000000149011612
856,0.05000000074505806
857,0.4000000059604645
858,0.20000000298023224
859,0.10000000149011612
860,0.25
861,0.10000000149011612
862,0.18700000643730164
863,0.05000000074505806
864,0.25
865,0.20000000298023224
866,0.15000000596046448
867,0.05000000074505806
868,0.10000000149011612
869,0.15000000596046448
870,0.05000000074505806
871,0.10000000149011612
872,0.10000000149011612
873,0.15000000596046448
874,0.25
875,0.4000000059604645
876,0.25
877,0.15000000596046448
878,0.05000000074505806
879,0.30000001192092896
880,0.18700000643730164
881,0.10000000149011612
882,0.25
883,0.18700000643730164
884,0.15000000596046448
885,0.20000000298023224
886,0.30000001192092896
887,0.25
888,0.05000000074505806
889,0.25
890,0.20000000298023224
891,0.18700000643730164
892,0.5
893,0.05000000074505806
894,0.10000000149011612
895,0.10000000149011612
896,0.05000000074505806
897,0.05000000074505806
898,0.05000000074505806
899,0.05000000074505806
900,0.05000000074505806
901,0.15000000596046448
902,0.05000000074505806
903,0.05000000074505806
904,0.5
905,0.05000000074505806
906,0.05000000074505806
907,0.25
908,0.10000000149011612
909,0.25
910,0.05000000074505806
911,0.3499999940395355
912,0.25
913,0.10000000149011612
914,0.5
915,0.10000000149011612
916,0.25
917,0.18700000643730164
918,0.25
919,0.25
920,0.05000000074505806
921,0.15000000596046448
922,0.15000000596046448
923,0.05000000074505806
924,0.05000000074505806
925,0.05000000074505806
926,0.25
927,0.05000000074505806
928,0.25
929,0.15000000596046448
930,0.25
931,0.10000000149011612
932,0.25
933,0.25
934,0.25
935,0.25
936,0.30000001192092896
937,0.10000000149011612
938,0.05000000074505806
939,0.05000000074505806
940,0.05000000074505806
941,0.10000000149011612
942,0.18700000643730164
943,0.25
944,0.05000000074505806
945,0.3499999940395355
946,0.5
947,0.15000000596046448
948,0.05000000074505806
949,0.05000000074505806
950,0.5
951,0.15000000596046448
952,0.15000000596046448
953,0.30000001192092896
954,0.10000000149011612
955,0.10000000149011612
956,0.18700000643730164
957,0.10000000149011612
958,0.05000000074505806
959,0.30000001192092896
960,0.30000001192092896
961,0.10000000149011612
962,0.18700000643730164
963,0.5
964,0.05000000074505806
965,0.10000000149011612
966,0.5
967,0.25
968,0.25
969,0.10000000149011612
970,0.15000000596046448
971,0.15000000596046448
972,0.05000000074505806
973,0.3499999940395355
974,0.4000000059604645
975,0.05000000074505806
976,0.05000000074505806
977,0.05000000074505806
978,0.05000000074505806
979,0.25
980,0.30000001192092896
981,0.30000001192092896
982,0.25
983,0.20000000298023224
984,0.5
985,0.10000000149011612
986,0.15000000596046448
987,0.10000000149011612
988,0.05000000074505806
989,0.15000000596046448
990,0.25
991,0.15000000596046448
992,0.18700000643730164
993,0.15000000596046448
994,0.10000000149011612
995,0.05000000074505806
996,0.5
997,0.10000000149011612
998,0.05000000074505806
999,0.15000000596046448
1000,0.05000000074505806
1001,0.25
1002,0.25
1003,0.25
1004,0.10000000149011612
1005,0.10000000149011612
1006,0.25
1007,0.10000000149011612
1008,0.05000000074505806
1009,0.5
1010,0.25
1011,0.18700000643730164
1012,0.05000000074505806
1013,0.15000000596046448
1014,0.10000000149011612
1015,0.10000000149011612
1016,0.05000000074505806
1017,0.3499999940395355
1018,0.18700000643730164
1019,0.5
1020,0.05000000074505806
1021,0.4000000059604645
1022,0.10000000149011612
1023,0.25
1024,0.25
1025,0.15000000596046448
1026,0.5
1027,0.20000000298023224
1028,0.18700000643730164
1029,0.30000001192092896
1030,0.05000000074505806
1031,0.05000000074505806
1032,0.15000000596046448
1033,0.10000000149011612
1034,0.05000000074505806
1035,0.25
1036,0.15000000596046448
1037,0.5
1038,0.10000000149011612
1039,0.05000000074505806
1040,0.5
1041,0.5
1042,0.25
1043,0.25
1044,0.05000000074505806
1045,0.18700000643730164
1046,0.05000000074505806
1047,0.5
1048,0.05000000074505806
1049,0.4000000059604645
1050,0.4000000059604645
