run,name,round1_candidates,round2_candidates,added_unique_candidates,top1_changed,round1_top1_tanimoto,round2_top1_tanimoto,round1_best_tanimoto,round2_best_tanimoto,round1_best_rank,round2_best_rank,round1_exact_rank,round2_exact_rank,added_best_tanimoto,added_exact_any
A35_before_fix,MassSpecGymID0164494,31,61,30,False,0.38392857142857145,0.38392857142857145,0.5227272727272727,0.5274725274725275,4,5,,,0.5274725274725275,False
A35_before_fix,MassSpecGymID0212665,30,58,28,False,0.37254901960784315,0.37254901960784315,0.44,0.46153846153846156,9,13,,,0.46153846153846156,False
A35_before_fix,MassSpecGymID0215115,20,36,16,True,0.4262295081967213,0.4262295081967213,0.45454545454545453,0.5178571428571429,5,10,,,0.5178571428571429,False
A35_before_fix,MassSpecGymID0337070,27,56,29,False,0.17142857142857143,0.17142857142857143,0.21649484536082475,0.21649484536082475,17,30,,,0.15463917525773196,False
A35_before_fix,MassSpecGymID0227808,24,46,22,False,1.0,1.0,1.0,1.0,1,1,1,1,0.6875,False
A35_before_fix,MassSpecGymID0214355,16,38,22,False,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.26436781609195403,1,11,,,0.26436781609195403,False
A35_before_fix,MassSpecGymID0370978,27,59,32,True,0.2644628099173554,0.4954128440366973,0.2956521739130435,0.4954128440366973,2,1,,,0.4954128440366973,False
A35_before_fix,MassSpecGymID0388355,30,57,27,True,0.330188679245283,0.358974358974359,0.330188679245283,0.358974358974359,1,1,,,0.358974358974359,False
A35_before_fix,MassSpecGymID0205522,23,41,18,False,1.0,1.0,1.0,1.0,1,1,1,1,0.7619047619047619,False
A35_before_fix,MassSpecGymID0341967,21,47,26,True,0.21875,0.234375,0.26229508196721313,0.26229508196721313,2,4,,,0.24390243902439024,False
A35_before_fix,MassSpecGymID0238410,17,30,13,False,1.0,1.0,1.0,1.0,1,1,1,1,0.6428571428571429,False
A35_before_fix,MassSpecGymID0161730,30,56,26,False,0.1826086956521739,0.1826086956521739,0.21052631578947367,0.2184873949579832,10,22,,,0.2184873949579832,False
A35_before_fix,MassSpecGymID0229846,25,43,18,True,0.16666666666666666,0.20454545454545456,0.18085106382978725,0.2222222222222222,2,12,,,0.2222222222222222,False
A35_before_fix,MassSpecGymID0383012,28,51,23,False,0.11538461538461539,0.11538461538461539,0.18309859154929578,0.18309859154929578,23,37,,,0.15151515151515152,False
A35_before_fix,MassSpecGymID0047729,30,56,26,True,0.14285714285714285,0.17346938775510204,0.15053763440860216,0.17346938775510204,21,1,,,0.17346938775510204,False
