shard,rows,total_spectra,elapsed_time_seconds,spectra_per_second,exact_match_top1,exact_match_top10,tanimoto_top1_mean,tanimoto_top10_mean,mist_tanimoto_mean,avg_formula_matches,avg_predictions_collected,avg_total_generated,formula_match_success_rate,avg_attempts_to_match,never_matched_rate,total_generation_time,generation_time_percentage,total_elapsed_time_seconds,proposal_source_counts,shard_index
shard_010,500,500,15362.579337596893,0.0325466179221837,0.018,0.02,0.35589702472090723,0.38366851764917376,0.4660364894270897,5.522,9.996,90.316,0.83,28.774657290054883,0.17,15275.294864177704,99.43183711861732,15362.579337596893,"[['formula', 500]]",10
shard_011,500,500,13752.064556837082,0.0363581771983041,0.13,0.15,0.4777318406254053,0.5015961148738861,0.5419001128226518,7.608,10.0,92.742,0.928,22.12537566425339,0.072,13666.034632921219,99.37442175638208,13752.064556837082,"[['formula', 500]]",11
shard_012,491,491,5950.366959095001,0.08251591933326358,0.06517311608961303,0.07942973523421588,0.34448083286797687,0.37514532630591674,0.3982988062434187,9.472505091649694,10.0,83.39307535641548,0.9938900203665988,13.310063806621331,0.006109979633401222,5877.354202032089,98.77297051484676,5950.366959095001,"[['formula', 491]]",12
shard_013,476,476,5163.647896528244,0.09218289270266404,0.06512605042016807,0.08823529411764706,0.34111230111360047,0.3720200422900815,0.39930965352271286,9.808823529411764,10.0,81.56302521008404,0.9978991596638656,11.829760676337207,0.0021008403361344537,5093.064649581909,98.63307397481941,5163.647896528244,"[['formula', 476]]",13
shard_014,483,483,5354.744940519333,0.09020037468921087,0.049689440993788817,0.062111801242236024,0.32962572917064525,0.3583445250679494,0.39573140684553804,9.509316770186336,10.0,82.27950310559007,0.9917184265010351,11.883961291398446,0.008281573498964804,5283.246422767639,98.66476333521202,5354.744940519333,"[['formula', 483]]",14
shard_015,478,478,5500.653969049454,0.08689875834574654,0.056485355648535567,0.07740585774058577,0.32143270768318716,0.34965781847241034,0.38146309931782,9.518828451882845,10.0,84.5418410041841,0.9874476987447699,13.494251437027765,0.012552301255230125,5429.512605905533,98.7066744509978,5500.653969049454,"[['formula', 478]]",15
shard_016,445,445,4768.070013284683,0.09332916646780597,0.056179775280898875,0.060674157303370786,0.32426749794335846,0.3489147160495265,0.39342850111843497,9.476404494382022,10.0,80.27865168539326,0.9977528089887641,12.239346906840709,0.0022471910112359553,4703.266315937042,98.64088200955341,4768.070013284683,"[['formula', 445]]",16
shard_017,481,481,7154.480520963669,0.06723059746834169,0.15384615384615385,0.17463617463617465,0.44981334039364435,0.4769772832241227,0.5054669512780441,9.862785862785863,10.0,85.32848232848232,0.9916839916839917,13.113958667455204,0.008316008316008316,7078.293181180954,98.93511010953941,7154.480520963669,"[['formula', 481]]",17
shard_018,497,497,8994.693156957626,0.05525480317419808,0.19517102615694165,0.22334004024144868,0.5769092595163485,0.5973293433786638,0.652424264256983,10.253521126760564,10.0,88.52313883299799,0.9859154929577465,14.359498081524885,0.014084507042253521,8913.284016609192,99.09492031659288,8994.693156957626,"[['formula', 497]]",18
shard_019,481,481,8821.78473162651,0.05452411440913906,0.2598752598752599,0.2806652806652807,0.6154076134836352,0.6330732091982498,0.674799301783533,10.501039501039502,10.0,87.11642411642411,0.9916839916839917,14.73896997088507,0.008316008316008316,8744.001701831818,99.11828465371822,8821.78473162651,"[['formula', 481]]",19
shard_020,487,487,7839.959386348724,0.0621176687277214,0.2464065708418891,0.26078028747433263,0.5766221792331956,0.5925820143377022,0.6345021392102114,11.08624229979466,10.0,88.30800821355236,0.9774127310061602,13.259228305094668,0.022587268993839837,7764.756916999817,99.04077986067308,7839.959386348724,"[['formula', 487]]",20
shard_021,475,475,7998.506351947784,0.05938608773928506,0.24421052631578946,0.26105263157894737,0.5795005886178267,0.5986720346463354,0.6386648030343809,10.018947368421053,10.0,88.29684210526315,0.9705263157894737,13.501727268090121,0.029473684210526315,7925.7564108371735,99.0904559187742,7998.506351947784,"[['formula', 475]]",21
shard_022,491,491,9586.109799146652,0.051219943260373296,0.24643584521384929,0.26272912423625255,0.5586133330544484,0.5779221747260229,0.640973342533267,9.989816700610998,10.0,87.83095723014257,0.9389002036659878,14.995464981865519,0.06109979633401222,9508.848399162292,99.19402759197233,9586.109799146652,"[['formula', 491]]",22
shard_023,488,488,8318.89379119873,0.05866164567653177,0.22540983606557377,0.26844262295081966,0.5878477058464997,0.6124070157892392,0.6315163249363664,10.176229508196721,10.0,88.86065573770492,0.9795081967213115,15.069621237758446,0.020491803278688523,8243.791829824448,99.09721216234615,8318.89379119873,"[['formula', 488]]",23
