shard,spectra,unique_targets,exact_top1,exact_top10,tanimoto_top10,mist_tanimoto,formula_success,bad_low_tanimoto_share,near_miss_high_tanimoto_share,mol_wt_median,heavy_atoms_median,ring_count_median,max_ring_size_median,amide_count_median,ester_count_median,chiral_centers_median,rotatable_bonds_median,shard_index
shard_017,481,126,0.15384615384615385,0.17463617463617465,0.4769772832241227,0.5054669512780441,0.9916839916839917,0.6029106029106029,0.037422037422037424,424.52600000000035,30.0,4.0,6.0,1.0,0.0,0.0,6.0,17
shard_018,497,137,0.19517102615694165,0.22334004024144868,0.5973293433786638,0.652424264256983,0.9859154929577465,0.4124748490945674,0.09456740442655935,453.3230000000001,33.0,4.0,6.0,1.0,0.0,0.0,6.0,18
shard_019,481,152,0.2598752598752599,0.2806652806652807,0.6330732091982498,0.674799301783533,0.9916839916839917,0.36382536382536385,0.08731808731808732,451.5310000000001,33.0,4.0,6.0,1.0,0.0,0.0,6.0,19
shard_020,487,159,0.2464065708418891,0.26078028747433263,0.5925820143377022,0.6345021392102114,0.9774127310061602,0.42505133470225875,0.07597535934291581,442.3760000000002,32.0,4.0,6.0,1.0,0.0,0.0,6.0,20
shard_021,475,163,0.24421052631578946,0.26105263157894737,0.5986720346463354,0.6386648030343809,0.9705263157894737,0.4126315789473684,0.08842105263157894,442.60400000000044,32.0,4.0,6.0,1.0,0.0,0.0,6.0,21
shard_022,491,157,0.24643584521384929,0.26272912423625255,0.5779221747260229,0.640973342533267,0.9389002036659878,0.45010183299389,0.04276985743380855,464.4260000000002,33.0,4.0,6.0,1.0,0.0,1.0,6.0,22
shard_023,488,154,0.22540983606557377,0.26844262295081966,0.6124070157892392,0.6315163249363664,0.9795081967213115,0.4036885245901639,0.07172131147540983,465.1705000000002,33.0,4.0,6.0,0.0,0.0,0.0,6.0,23
shard_024,483,103,0.08695652173913043,0.09523809523809523,0.492365983332166,0.5328470428568729,0.9420289855072463,0.577639751552795,0.049689440993788817,494.50300000000016,36.0,5.0,6.0,0.0,0.0,2.0,7.0,24
shard_025,500,4,0.0,0.008,0.6811594623029232,0.6327006405591965,0.978,0.166,0.028,785.0250000000005,55.0,6.0,6.0,0.0,0.0,20.0,10.0,25
shard_026,500,13,0.104,0.12,0.5208745178133249,0.5137305136024952,0.9,0.498,0.12,767.0100000000004,54.0,6.0,6.0,0.0,0.0,12.0,10.0,26
shard_027,500,23,0.002,0.006,0.34946078541874886,0.40636986066401004,0.856,0.77,0.046,630.8890000000004,43.0,5.0,6.0,0.0,1.0,8.0,9.0,27
shard_028,500,12,0.0,0.0,0.40297410714626314,0.472923621609807,0.79,0.64,0.044,767.0100000000006,54.0,6.0,6.0,0.0,2.0,14.0,9.0,28
shard_029,500,30,0.0,0.0,0.33921930338442324,0.39121295484900476,0.776,0.772,0.028,643.7740000000001,46.0,7.0,6.0,0.0,1.0,14.0,10.0,29
shard_030,460,29,0.015217391304347827,0.01956521739130435,0.38733018756560655,0.49921134423626506,0.7804347826086957,0.7478260869565218,0.03695652173913044,680.8240000000002,48.0,5.0,7.0,1.0,1.0,3.0,10.0,30
shard_031,483,17,0.012422360248447204,0.014492753623188406,0.31837546169819547,0.4433772944484685,0.8405797101449275,0.8778467908902692,0.010351966873706004,602.7110000000001,42.0,5.0,6.0,2.0,0.0,2.0,10.0,31
shard_032,468,17,0.01282051282051282,0.01282051282051282,0.3287910000444987,0.4624468815855236,0.8461538461538461,0.905982905982906,0.002136752136752137,620.7720000000003,45.0,5.0,7.0,2.0,0.0,2.0,11.0,32
shard_033,464,19,0.0021551724137931034,0.004310344827586207,0.37609319218659193,0.508148713904465,0.8017241379310345,0.7952586206896551,0.04310344827586207,707.8900000000001,49.0,4.0,7.0,2.0,0.0,2.0,11.0,33
shard_034,500,199,0.012,0.012,0.3597060606777668,0.48573851862549783,0.768,0.772,0.016,648.8070000000001,45.0,4.0,6.0,1.0,1.0,5.0,11.0,34
shard_035,54,45,0.12962962962962962,0.16666666666666666,0.5900290091004636,0.595377074347602,0.9444444444444444,0.35185185185185186,0.12962962962962962,458.9610000000002,33.0,4.0,6.0,1.0,0.0,5.0,5.5,35
