murcko_scaffold,spectra,unique_targets,exact_top10,tanimoto_top10,mist_tanimoto,chem_class,example_smiles
c1ccc(Cn2nc(-c3ncccn3)c3cccnc32)cc1,8,3,0.5,0.7958990596234798,0.7699224799871445,aromatic_rich_polycycle,CN(C1=C(N=C(N=C1N)C2=NN(C3=C2C=CC=N3)CC4=CC=CC=C4F)N)C(=O)OC
c1ccc(CSC(Cn2cncn2)=Nc2ccccc2)cc1,8,1,0.75,0.8763950914144516,0.6967794671654701,aromatic_rich_polycycle,C1=CC(=CC=C1CSC(=NC2=C(C=C(C=C2)Cl)Cl)CN3C=NC=N3)Cl
O=C(N[C@@H]1CNCCC[C@H]1OC(=O)c1ccc(C(=O)c2ccccc2)cc1)c1ccccc1,8,1,1.0,1.0,0.942408487200737,aromatic_rich_polycycle,C1C[C@H]([C@@H](CNC1)NC(=O)C2=CC=C(C=C2)O)OC(=O)C3=CC(=C(C(=C3)O)C(=O)C4=C(C=CC=C4O)C(=O)O)O
C1=C[C@@H](C/C=C/[C@@H]2C=CO[C@@H](O[C@H]3CCCCO3)C2)C[C@H](O[C@H]2CCCCO2)O1,7,1,0.0,0.49926274163382395,0.4547908306121826,glycoside_or_sugar_rich,COC(=O)C1=CO[C@H]([C@@H]([C@@H]1C/C=C(\C=O)/[C@H]2[C@H]([C@@H](OC=C2C(=O)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C=C)C=C)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O
C1=Cc2cc3ccc(cc4ccc(cc5nc(cc1n2)C=C5)[nH]4)[nH]3,7,2,0.0,0.7200875963483538,0.8451540214674813,other_macrocycle,CC1=C(C2=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1N2)C)CCC(=O)O)C)CCC(=O)O)C)CCC(=O)O)CCC(=O)O
O=C(/C=C/c1ccccc1)O[C@H]1CCOC1O[C@@H]1C[C@@H](O[C@H]2CC[C@@H](O[C@H]3CCCCO3)CO2)[C@H](OC(=O)/C=C/c2ccccc2)CO1,7,1,0.0,0.5382306958947863,0.5666539243289402,glycoside_or_sugar_rich,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H](O[C@H]([C@@H]([C@@H]2O)O)O[C@@H]3[C@H]([C@H](O[C@@H]([C@H]3OC(=O)/C=C/C4=CC=C(C=C4)O)CO)O[C@]5([C@H]([C@@H]([C@H](O5)CO)O)OC(=O)/C=C/C6=CC=C(C=C6)O)CO)O)C)O)O)O
O=C(CCc1c[nH]c2ccccc12)N1CCCC(Cc2ccccc2)C1,7,1,0.0,0.5014229757445199,0.593707161290305,other_midsize,CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C(=O)N3CCC[C@](C3)(CC4=CC=CC=C4)C(=O)N(C)N(C)C)N
O=C(OC1CC(Oc2ccc3c(c2)OC(c2ccccc2)CC3=O)OC2COC(=O)c3ccccc3-c3ccccc3C(=O)OC12)c1ccccc1,7,1,0.0,0.3768897695200783,0.5325663089752197,other_macrocycle,C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C4C(O3)COC(=O)C5=CC(=C(C(=C5C6=C(C(=C(C=C6C(=O)O4)O)O)O)O)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)C8=CC=CC=C8
O=C(OC1CCC2CC/C=C/CCCC/C=C\C21)c1ccccc1,7,1,0.0,0.2624249628611973,0.30584979270185736,other_macrocycle,CC1CC2(C(C1OC(=O)C3=CC=CC=C3)/C=C(\C(C(C(C(/C=C/C(C2OC(=O)C)C)(C)C)OC(=O)C)OC(=O)C)O)/C)OC(=O)C
O=C1C2=COC(OC3CCCCO3)CC2CC2c3[nH]c4ccccc4c(=O)c3CN12,7,1,0.0,0.8785210336957661,0.7348889027323041,glycoside_or_sugar_rich,C=CC1C2CC3C4=C(CN3C(=O)C2=COC1OC5C(C(C(C(O5)CO)O)O)O)C(=O)C6=CC=CC=C6N4
O=C1C2=COC3=CC4C5OC(C6OC5C3C26)C14,7,1,0.0,0.19621741345950533,0.24888854367392402,glycoside_or_sugar_rich,C/C=C/C=C/C1=C2C3C4(C(=C(C5C(C2=O)(C6(C3(OC4(C5(O6)C)O)C)O)C)C(=O)CC(/C=C/C)O)O1)C
O=C1C=CCC(c2ccccc2)C1,7,1,0.0,0.18359817777361181,0.2314232119492122,small_heteroaromatic,CCC(=NOCC)C1=C(CC(CC1=O)C2=C(C=C(C=C2C)C)C)O
O=C1CC23CCC4OC(=O)CC42C(=O)OC3O1,7,1,0.0,0.22599812490599494,0.39605761000088285,polycyclic_aliphatic_like,CC(C)(C)C1(CC2C3(C14C(C(=O)OC4OC3=O)O)CC(=O)O2)O
O=C1CC23OC4O[C@@]5(CCC2[C@H](c2ccoc2)O1)C1CC2CC1C(C[C@]35O4)C2OC(=O)C1CO1,7,1,0.0,0.34494793627943304,0.4428922363689968,polycyclic_aliphatic_like,CCC(C)C(=O)O[C@@H]1C[C@]2([C@@H](OC(=O)CC23[C@]45[C@]1([C@@]6([C@H](C7(CC6([C@@]([C@H]4OC(=O)C)(C7OC(=O)C8(C(O8)C)C)O)O)C)CC(=O)OC)C)OC(O5)(O3)C)C9=COC=C9)C
O=C1CC[C@]2(CCCC3[C@@H]2CC=C[C@@]32Cc3c(cc(-c4cccnc4)oc3=O)O2)CO1,7,1,0.0,0.3458529881068638,0.4533489857401167,polycyclic_aliphatic_like,CC1=CC[C@H]2[C@]([C@]13[C@H](C4=C(O3)C=C(OC4=O)C5=CN=CC=C5)O)(CC[C@]([C@]26CCC(=O)OC6)(C(=C)C)O)C
O=C1Cc2ccccc2CCN1CCCNCC1Cc2ccccc21,7,1,0.0,0.4623193315097264,0.6224709280899593,polycyclic_aliphatic_like,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)CC3CC4=CC(=C(C=C34)OC)OC
O=C1OC2(C=C1c1ccccc1)CCCC2,7,1,0.0,0.25658157042094637,0.444436992917742,small_heteroaromatic,CC1=CC(=C(C(=C1)C)C2=C(C3(CCCC3)OC2=O)OC(=O)CC(C)(C)C)C
O=c1ccc2c(CCNC3Cc4ccccc4C3)cccc2[nH]1,7,1,0.0,0.24147505738905495,0.35626489988395144,other_midsize,CCC1=C(C=C2CC(CC2=C1)NC[C@@H](C3=C4C=CC(=O)NC4=C(C=C3)O)O)CC
O=c1ccc2c3ccc(=O)c4ccc5c(c6c(ccc1c26)C=CC5)c43,7,1,0.0,0.1847463399171829,0.16119182535580223,aromatic_rich_polycycle,CC1=C(C2=C3C4=C(C1)C(=C(C5=C4C(=C6C3=C(C(=O)C=C6OC)C(=C2OC)O)C(=CC5=O)OC)O)OC)C(=O)C
O=c1nc(-c2ccccc2)c2ccccc2[nH]1,7,2,0.0,0.3516859007733209,0.364401964204652,aromatic_rich_polycycle,CC(C)C1=CC=C(C=C1)C2=NC(=O)N(C3=C2C=C(C=C3)NCC#C)C(C)C
