bit,threshold
619,0.15000000596046448
620,0.18700000643730164
621,0.20000000298023224
622,0.20000000298023224
623,0.18700000643730164
624,0.30000001192092896
625,0.3499999940395355
626,0.25
627,0.07999999821186066
628,0.5
629,0.11999999731779099
630,0.05000000074505806
631,0.10000000149011612
632,0.11999999731779099
633,0.20000000298023224
634,0.05000000074505806
635,0.18700000643730164
636,0.25
637,0.10000000149011612
638,0.18700000643730164
639,0.25
640,0.25
641,0.15000000596046448
642,0.20000000298023224
643,0.10000000149011612
644,0.6000000238418579
645,0.07999999821186066
646,0.10000000149011612
647,0.11999999731779099
648,0.25
649,0.15000000596046448
650,0.25
651,0.4000000059604645
652,0.30000001192092896
653,0.18700000643730164
654,0.25
655,0.6000000238418579
656,0.5
657,0.4000000059604645
658,0.15000000596046448
659,0.15000000596046448
660,0.25
661,0.6000000238418579
662,0.3499999940395355
663,0.5
664,0.25
665,0.4000000059604645
666,0.5
667,0.6000000238418579
668,0.4000000059604645
669,0.20000000298023224
670,0.3499999940395355
671,0.019999999552965164
672,0.10000000149011612
673,0.4000000059604645
674,0.25
675,0.6000000238418579
676,0.4000000059604645
677,0.11999999731779099
678,0.18700000643730164
679,0.6000000238418579
680,0.5
681,0.3499999940395355
682,0.30000001192092896
683,0.6000000238418579
684,0.6000000238418579
685,0.10000000149011612
686,0.07999999821186066
687,0.15000000596046448
688,0.10000000149011612
689,0.20000000298023224
690,0.25
691,0.6000000238418579
692,0.30000001192092896
693,0.10000000149011612
694,0.6000000238418579
695,0.4000000059604645
696,0.30000001192092896
697,0.4000000059604645
698,0.07999999821186066
699,0.25
700,0.05000000074505806
701,0.11999999731779099
702,0.25
703,0.019999999552965164
704,0.07999999821186066
705,0.10000000149011612
706,0.019999999552965164
707,0.6000000238418579
708,0.25
709,0.6000000238418579
710,0.15000000596046448
711,0.10000000149011612
712,0.30000001192092896
713,0.15000000596046448
714,0.25
715,0.3499999940395355
716,0.4000000059604645
717,0.05000000074505806
718,0.05000000074505806
719,0.25
720,0.30000001192092896
721,0.15000000596046448
722,0.15000000596046448
723,0.11999999731779099
724,0.4000000059604645
725,0.4000000059604645
726,0.6000000238418579
727,0.15000000596046448
728,0.15000000596046448
729,0.3499999940395355
730,0.10000000149011612
731,0.11999999731779099
732,0.25
733,0.019999999552965164
734,0.11999999731779099
735,0.6000000238418579
736,0.10000000149011612
737,0.15000000596046448
738,0.18700000643730164
739,0.18700000643730164
740,0.019999999552965164
741,0.25
742,0.07999999821186066
743,0.05000000074505806
744,0.20000000298023224
745,0.20000000298023224
746,0.07999999821186066
747,0.11999999731779099
748,0.25
749,0.07999999821186066
750,0.4000000059604645
751,0.5
752,0.25
753,0.30000001192092896
754,0.18700000643730164
755,0.10000000149011612
756,0.18700000643730164
757,0.4000000059604645
758,0.30000001192092896
759,0.07999999821186066
760,0.25
761,0.07999999821186066
762,0.6000000238418579
763,0.5
764,0.6000000238418579
765,0.3499999940395355
766,0.5
767,0.11999999731779099
768,0.25
769,0.25
770,0.05000000074505806
771,0.30000001192092896
