strategy,spec_name,tanimoto,predicted_active_bits,target_active_bits
global_threshold_0.2,MassSpecGymID0061350,0.1744185984134674,44,57
global_threshold_0.2,MassSpecGymID0070209,0.1882352977991104,43,58
global_threshold_0.2,MassSpecGymID0076472,0.1149425283074379,40,57
global_threshold_0.2,MassSpecGymID0076664,0.125,42,48
global_threshold_0.2,MassSpecGymID0076673,0.125,42,48
global_threshold_0.2,MassSpecGymID0105096,0.1428571492433548,82,78
global_threshold_0.2,MassSpecGymID0134807,0.1854838728904724,68,79
global_threshold_0.2,MassSpecGymID0135253,0.12162162363529205,98,68
global_threshold_0.2,MassSpecGymID0135257,0.13533835113048553,83,68
global_threshold_0.2,MassSpecGymID0136309,0.17518247663974762,84,77
global_threshold_0.2,MassSpecGymID0136365,0.18487395346164703,64,77
global_threshold_0.2,MassSpecGymID0146901,0.1599999964237213,87,87
global_threshold_0.2,MassSpecGymID0154352,0.1411764770746231,39,58
global_threshold_0.2,MassSpecGymID0154792,0.14423076808452606,58,61
global_threshold_0.2,MassSpecGymID0162178,0.14516128599643707,38,33
global_threshold_0.2,MassSpecGymID0162215,0.14084507524967194,48,33
global_threshold_0.2,MassSpecGymID0162310,0.1975308656692505,42,55
global_threshold_0.2,MassSpecGymID0162742,0.14130434393882751,53,52
global_threshold_0.2,MassSpecGymID0179016,0.15306122601032257,44,69
global_threshold_0.2,MassSpecGymID0182450,0.18867924809455872,70,56
global_threshold_0.2,MassSpecGymID0185118,0.14393939077854156,84,67
global_threshold_0.2,MassSpecGymID0186133,0.16483516991138458,53,53
global_threshold_0.2,MassSpecGymID0192057,0.15625,49,62
global_threshold_0.2,MassSpecGymID0196090,0.16393442451953888,37,34
global_threshold_0.2,MassSpecGymID0198021,0.14492753148078918,81,77
global_threshold_0.2,MassSpecGymID0203443,0.18000000715255737,61,57
global_threshold_0.2,MassSpecGymID0203612,0.18918919563293457,39,49
global_threshold_0.2,MassSpecGymID0204199,0.18987341225147247,46,48
global_threshold_0.2,MassSpecGymID0206523,0.1805555522441864,39,46
global_threshold_0.2,MassSpecGymID0206904,0.1666666716337204,47,58
global_threshold_0.2,MassSpecGymID0208829,0.1463414579629898,42,52
global_threshold_0.2,MassSpecGymID0209913,0.21052631735801697,30,39
global_threshold_0.2,MassSpecGymID0210193,0.2028985470533371,32,51
global_threshold_0.2,MassSpecGymID0211536,0.1764705926179886,65,55
global_threshold_0.2,MassSpecGymID0212722,0.16923077404499054,27,49
global_threshold_0.2,MassSpecGymID0213408,0.20588235557079315,32,50
global_threshold_0.2,MassSpecGymID0213789,0.19354838132858276,28,46
global_threshold_0.2,MassSpecGymID0214938,0.1875,29,47
global_threshold_0.2,MassSpecGymID0215323,0.20000000298023224,27,45
global_threshold_0.2,MassSpecGymID0224184,0.1354166716337204,53,56
global_threshold_0.2,MassSpecGymID0224933,0.19090908765792847,64,67
global_threshold_0.2,MassSpecGymID0032389,0.19354838132858276,35,39
global_threshold_0.2,MassSpecGymID0035475,0.4444444477558136,46,58
global_threshold_0.2,MassSpecGymID0051208,0.42465752363204956,47,57
global_threshold_0.2,MassSpecGymID0051457,0.22368420660495758,36,57
global_threshold_0.2,MassSpecGymID0054352,0.2238806039094925,36,46
global_threshold_0.2,MassSpecGymID0055282,0.22033898532390594,34,38
global_threshold_0.2,MassSpecGymID0070653,0.3478260934352875,41,52
global_threshold_0.2,MassSpecGymID0076053,0.3181818127632141,29,29
global_threshold_0.2,MassSpecGymID0086672,0.22058823704719543,45,38
global_threshold_0.2,MassSpecGymID0126630,0.4653465449810028,78,70
global_threshold_0.2,MassSpecGymID0142449,0.19718310236930847,37,48
global_threshold_0.2,MassSpecGymID0154356,0.4588235318660736,66,58
global_threshold_0.2,MassSpecGymID0157809,0.4266666769981384,49,58
global_threshold_0.2,MassSpecGymID0168902,0.3717948794364929,41,66
global_threshold_0.2,MassSpecGymID0179539,0.4492753744125366,42,58
global_threshold_0.2,MassSpecGymID0180533,0.49253731966018677,43,57
global_threshold_0.2,MassSpecGymID0182775,0.2535211145877838,36,53
global_threshold_0.2,MassSpecGymID0185614,0.3484848439693451,47,42
global_threshold_0.2,MassSpecGymID0194710,0.30075186491012573,90,83
global_threshold_0.2,MassSpecGymID0197823,0.2651515007019043,88,79
global_threshold_0.2,MassSpecGymID0197998,0.4177215099334717,51,61
global_threshold_0.2,MassSpecGymID0199840,0.23529411852359772,53,52
global_threshold_0.2,MassSpecGymID0202711,0.4810126721858978,51,66
global_threshold_0.2,MassSpecGymID0202787,0.23255814611911774,71,88
global_threshold_0.2,MassSpecGymID0205123,0.2857142984867096,37,53
global_threshold_0.2,MassSpecGymID0205275,0.3661971688270569,47,50
global_threshold_0.2,MassSpecGymID0207476,0.3333333432674408,43,49
global_threshold_0.2,MassSpecGymID0207974,0.3378378450870514,41,58
global_threshold_0.2,MassSpecGymID0208689,0.2916666567325592,44,49
global_threshold_0.2,MassSpecGymID0209540,0.27397260069847107,44,49
global_threshold_0.2,MassSpecGymID0209809,0.25,31,49
global_threshold_0.2,MassSpecGymID0210092,0.2535211145877838,35,54
global_threshold_0.2,MassSpecGymID0210306,0.23076923191547394,29,51
global_threshold_0.2,MassSpecGymID0210496,0.23076923191547394,29,51
global_threshold_0.2,MassSpecGymID0210529,0.27848100662231445,45,56
global_threshold_0.2,MassSpecGymID0210816,0.33870968222618103,31,52
global_threshold_0.2,MassSpecGymID0211212,0.38983049988746643,35,47
global_threshold_0.2,MassSpecGymID0211596,0.2461538463830948,32,49
global_threshold_0.2,MassSpecGymID0212010,0.26582279801368713,41,59
global_threshold_0.2,MassSpecGymID0212443,0.3333333432674408,48,48
global_threshold_0.2,MassSpecGymID0212530,0.41558441519737244,50,59
global_threshold_0.2,MassSpecGymID0213416,0.4126984179019928,42,47
global_threshold_0.2,MassSpecGymID0214882,0.3132530152797699,48,61
global_threshold_0.2,MassSpecGymID0216198,0.4912280738353729,35,50
global_threshold_0.2,MassSpecGymID0219119,0.2716049253940582,53,50
global_threshold_0.2,MassSpecGymID0219478,0.3186813294887543,50,70
global_threshold_0.2,MassSpecGymID0221613,0.21276596188545227,22,35
global_threshold_0.2,MassSpecGymID0222136,0.25,42,53
global_threshold_0.2,MassSpecGymID0222364,0.39393940567970276,41,51
global_threshold_0.2,MassSpecGymID0224157,0.3333333432674408,41,43
global_threshold_0.2,MassSpecGymID0014731,0.7454545497894287,49,47
global_threshold_0.2,MassSpecGymID0027372,0.6265060305595398,70,65
global_threshold_0.2,MassSpecGymID0028445,0.7866666913032532,74,60
global_threshold_0.2,MassSpecGymID0030204,0.739130437374115,36,44
global_threshold_0.2,MassSpecGymID0037597,0.6617646813392639,57,56
