spec_name,target_active_bits,mean_target_bit_probability,median_target_bit_probability,recall_at_top_16,recall_at_top_32,recall_at_top_48,recall_at_top_64,recall_at_top_80,recall_at_top_96,recall_at_top_128,recall_at_top_160,recall_at_top_256,recall_at_top_384,recall_at_top_512,recall_at_top_768,recall_at_top_1024,threshold_0_05_precision,threshold_0_05_recall,threshold_0_05_f1,threshold_0_05_pred_bits,threshold_0_1_precision,threshold_0_1_recall,threshold_0_1_f1,threshold_0_1_pred_bits,threshold_0_15_precision,threshold_0_15_recall,threshold_0_15_f1,threshold_0_15_pred_bits,threshold_0_187_precision,threshold_0_187_recall,threshold_0_187_f1,threshold_0_187_pred_bits,threshold_0_2_precision,threshold_0_2_recall,threshold_0_2_f1,threshold_0_2_pred_bits,threshold_0_25_precision,threshold_0_25_recall,threshold_0_25_f1,threshold_0_25_pred_bits,threshold_0_3_precision,threshold_0_3_recall,threshold_0_3_f1,threshold_0_3_pred_bits,threshold_0_4_precision,threshold_0_4_recall,threshold_0_4_f1,threshold_0_4_pred_bits,threshold_0_5_precision,threshold_0_5_recall,threshold_0_5_f1,threshold_0_5_pred_bits
MassSpecGymID0105096,78,0.21836990118026733,0.01628103479743004,0.11538461538461539,0.16666666666666666,0.19230769230769232,0.23076923076923078,0.2564102564102564,0.2692307692307692,0.3333333333333333,0.34615384615384615,0.46153846153846156,0.5128205128205128,0.5769230769230769,0.6410256410256411,0.6666666666666666,0.16265060240963855,0.34615384615384615,0.22131147540983606,166,0.20588235294117646,0.2692307692307692,0.23333333333333334,102,0.2247191011235955,0.2564102564102564,0.2395209580838323,89,0.24096385542168675,0.2564102564102564,0.2484472049689441,83,0.24390243902439024,0.2564102564102564,0.25,82,0.2564102564102564,0.2564102564102564,0.2564102564102564,78,0.28169014084507044,0.2564102564102564,0.2684563758389261,71,0.30303030303030304,0.2564102564102564,0.2777777777777778,66,0.2923076923076923,0.24358974358974358,0.26573426573426573,65
MassSpecGymID0134807,79,0.2117934674024582,0.032269932329654694,0.12658227848101267,0.189873417721519,0.25316455696202533,0.2911392405063291,0.3037974683544304,0.34177215189873417,0.379746835443038,0.3924050632911392,0.46835443037974683,0.4936708860759494,0.5569620253164557,0.6075949367088608,0.6835443037974683,0.13909774436090225,0.46835443037974683,0.2144927536231884,266,0.2158273381294964,0.379746835443038,0.27522935779816515,139,0.3,0.34177215189873417,0.3195266272189349,90,0.32432432432432434,0.3037974683544304,0.3137254901960784,74,0.3382352941176471,0.2911392405063291,0.3129251700680272,68,0.4,0.27848101265822783,0.32835820895522383,55,0.41304347826086957,0.24050632911392406,0.304,46,0.4444444444444444,0.20253164556962025,0.2782608695652174,36,0.5,0.189873417721519,0.27522935779816515,30
MassSpecGymID0135253,68,0.24404898285865784,0.03941688686609268,0.14705882352941177,0.20588235294117646,0.23529411764705882,0.23529411764705882,0.25,0.2647058823529412,0.3235294117647059,0.39705882352941174,0.5441176470588235,0.6617647058823529,0.6911764705882353,0.7941176470588235,0.8529411764705882,0.16666666666666666,0.47058823529411764,0.24615384615384617,192,0.17829457364341086,0.3382352941176471,0.23350253807106602,129,0.18584070796460178,0.3088235294117647,0.23204419889502761,113,0.18181818181818182,0.2647058823529412,0.2155688622754491,99,0.1836734693877551,0.2647058823529412,0.21686746987951805,98,0.19101123595505617,0.25,0.2165605095541401,89,0.2,0.25,0.22222222222222224,85,0.21052631578947367,0.23529411764705882,0.2222222222222222,76,0.22857142857142856,0.23529411764705882,0.23188405797101447,70
MassSpecGymID0135257,68,0.22923661768436432,0.047941822558641434,0.14705882352941177,0.22058823529411764,0.22058823529411764,0.23529411764705882,0.25,0.27941176470588236,0.3382352941176471,0.4411764705882353,0.5294117647058824,0.6617647058823529,0.7352941176470589,0.8088235294117647,0.8529411764705882,0.17525773195876287,0.5,0.2595419847328244,194,0.17699115044247787,0.29411764705882354,0.22099447513812154,113,0.20430107526881722,0.27941176470588236,0.2360248447204969,93,0.20689655172413793,0.2647058823529412,0.23225806451612901,87,0.21686746987951808,0.2647058823529412,0.23841059602649006,83,0.20512820512820512,0.23529411764705882,0.2191780821917808,78,0.2222222222222222,0.23529411764705882,0.22857142857142856,72,0.25,0.23529411764705882,0.24242424242424243,64,0.2909090909090909,0.23529411764705882,0.2601626016260163,55
MassSpecGymID0136309,77,0.25759124755859375,0.015521387569606304,0.09090909090909091,0.16883116883116883,0.2077922077922078,0.2597402597402597,0.2987012987012987,0.3246753246753247,0.35064935064935066,0.37662337662337664,0.4675324675324675,0.5844155844155844,0.6363636363636364,0.7272727272727273,0.7792207792207793,0.19205298013245034,0.37662337662337664,0.2543859649122807,151,0.24074074074074073,0.33766233766233766,0.2810810810810811,108,0.2604166666666667,0.3246753246753247,0.2890173410404624,96,0.27906976744186046,0.3116883116883117,0.294478527607362,86,0.2857142857142857,0.3116883116883117,0.2981366459627329,84,0.2926829268292683,0.3116883116883117,0.3018867924528302,82,0.2911392405063291,0.2987012987012987,0.2948717948717949,79,0.3194444444444444,0.2987012987012987,0.30872483221476504,72,0.3088235294117647,0.2727272727272727,0.2896551724137931,68
MassSpecGymID0136365,77,0.2204638570547104,0.03728898614645004,0.16883116883116883,0.2077922077922078,0.23376623376623376,0.2857142857142857,0.33766233766233766,0.35064935064935066,0.37662337662337664,0.4025974025974026,0.4675324675324675,0.5194805194805194,0.5844155844155844,0.6623376623376623,0.7532467532467533,0.13138686131386862,0.4675324675324675,0.20512820512820512,274,0.22556390977443608,0.38961038961038963,0.2857142857142857,133,0.2988505747126437,0.33766233766233766,0.3170731707317074,87,0.32857142857142857,0.2987012987012987,0.3129251700680272,70,0.34375,0.2857142857142857,0.3120567375886525,64,0.35185185185185186,0.24675324675324675,0.29007633587786263,54,0.4090909090909091,0.23376623376623376,0.2975206611570248,44,0.45714285714285713,0.2077922077922078,0.28571428571428575,35,0.5333333333333333,0.2077922077922078,0.2990654205607477,30
MassSpecGymID0146901,87,0.2386540323495865,0.07508229464292526,0.11494252873563218,0.19540229885057472,0.21839080459770116,0.2413793103448276,0.26436781609195403,0.3218390804597701,0.367816091954023,0.45977011494252873,0.6206896551724138,0.7126436781609196,0.7471264367816092,0.8390804597701149,0.896551724137931,0.2145922746781116,0.5747126436781609,0.3125,233,0.24,0.41379310344827586,0.3037974683544304,150,0.27884615384615385,0.3333333333333333,0.3036649214659686,104,0.27472527472527475,0.28735632183908044,0.2808988764044944,91,0.27586206896551724,0.27586206896551724,0.27586206896551724,87,0.2894736842105263,0.25287356321839083,0.2699386503067485,76,0.3188405797101449,0.25287356321839083,0.28205128205128205,69,0.36538461538461536,0.21839080459770116,0.2733812949640288,52,0.4090909090909091,0.20689655172413793,0.27480916030534347,44
MassSpecGymID0154352,58,0.2080741822719574,0.017489749938249588,0.15517241379310345,0.20689655172413793,0.27586206896551724,0.3793103448275862,0.4827586206896552,0.5344827586206896,0.5862068965517241,0.6551724137931034,0.8103448275862069,0.8620689655172413,0.9310344827586207,0.9827586206896551,0.9827586206896551,0.3333333333333333,0.3275862068965517,0.33043478260869563,57,0.28888888888888886,0.22413793103448276,0.2524271844660194,45,0.3,0.20689655172413793,0.24489795918367346,40,0.3076923076923077,0.20689655172413793,0.24742268041237114,39,0.3076923076923077,0.20689655172413793,0.24742268041237114,39,0.3076923076923077,0.20689655172413793,0.24742268041237114,39,0.3076923076923077,0.20689655172413793,0.24742268041237114,39,0.32432432432432434,0.20689655172413793,0.25263157894736843,37,0.32432432432432434,0.20689655172413793,0.25263157894736843,37
MassSpecGymID0154792,61,0.20665450394153595,0.023525552824139595,0.13114754098360656,0.21311475409836064,0.2459016393442623,0.26229508196721313,0.2786885245901639,0.3114754098360656,0.32786885245901637,0.3770491803278688,0.5081967213114754,0.5245901639344263,0.5737704918032787,0.6065573770491803,0.6229508196721312,0.14093959731543623,0.3442622950819672,0.2,149,0.20430107526881722,0.3114754098360656,0.24675324675324672,93,0.2361111111111111,0.2786885245901639,0.25563909774436094,72,0.26666666666666666,0.26229508196721313,0.2644628099173554,60,0.25862068965517243,0.2459016393442623,0.25210084033613445,58,0.2830188679245283,0.2459016393442623,0.2631578947368421,53,0.3191489361702128,0.2459016393442623,0.2777777777777778,47,0.36585365853658536,0.2459016393442623,0.29411764705882354,41,0.38235294117647056,0.21311475409836064,0.27368421052631575,34
MassSpecGymID0162178,33,0.19362200796604156,0.021932585164904594,0.12121212121212122,0.24242424242424243,0.2727272727272727,0.2727272727272727,0.30303030303030304,0.36363636363636365,0.42424242424242425,0.45454545454545453,0.5151515151515151,0.5454545454545454,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.11864406779661017,0.42424242424242425,0.18543046357615894,118,0.14285714285714285,0.2727272727272727,0.18749999999999997,63,0.21951219512195122,0.2727272727272727,0.24324324324324323,41,0.23076923076923078,0.2727272727272727,0.24999999999999994,39,0.23684210526315788,0.2727272727272727,0.2535211267605634,38,0.23529411764705882,0.24242424242424243,0.23880597014925375,34,0.25925925925925924,0.21212121212121213,0.23333333333333334,27,0.2608695652173913,0.18181818181818182,0.21428571428571427,23,0.3,0.18181818181818182,0.22641509433962265,20
MassSpecGymID0162215,33,0.2567681670188904,0.04139425605535507,0.21212121212121213,0.2727272727272727,0.30303030303030304,0.3333333333333333,0.36363636363636365,0.42424242424242425,0.42424242424242425,0.5151515151515151,0.5757575757575758,0.6363636363636364,0.696969696969697,0.7575757575757576,0.7575757575757576,0.1111111111111111,0.45454545454545453,0.17857142857142855,135,0.15,0.36363636363636365,0.21238938053097342,80,0.18333333333333332,0.3333333333333333,0.23655913978494622,60,0.19607843137254902,0.30303030303030304,0.23809523809523808,51,0.20833333333333334,0.30303030303030304,0.2469135802469136,48,0.24324324324324326,0.2727272727272727,0.2571428571428572,37,0.2727272727272727,0.2727272727272727,0.2727272727272727,33,0.32142857142857145,0.2727272727272727,0.2950819672131148,28,0.34615384615384615,0.2727272727272727,0.3050847457627119,26
MassSpecGymID0162310,55,0.2350185066461563,0.036370858550071716,0.18181818181818182,0.2545454545454545,0.2909090909090909,0.3090909090909091,0.38181818181818183,0.4,0.45454545454545453,0.45454545454545453,0.5272727272727272,0.6,0.6181818181818182,0.6909090909090909,0.7090909090909091,0.16891891891891891,0.45454545454545453,0.24630541871921183,148,0.2777777777777778,0.36363636363636365,0.3149606299212599,72,0.34,0.3090909090909091,0.32380952380952377,50,0.36363636363636365,0.2909090909090909,0.3232323232323232,44,0.38095238095238093,0.2909090909090909,0.32989690721649484,42,0.4,0.2545454545454545,0.31111111111111106,35,0.42424242424242425,0.2545454545454545,0.3181818181818182,33,0.5,0.2545454545454545,0.3373493975903614,28,0.6363636363636364,0.2545454545454545,0.36363636363636365,22
MassSpecGymID0162742,52,0.19072780013084412,0.013025300577282906,0.11538461538461539,0.15384615384615385,0.25,0.28846153846153844,0.36538461538461536,0.36538461538461536,0.38461538461538464,0.40384615384615385,0.4423076923076923,0.5384615384615384,0.6346153846153846,0.6923076923076923,0.7307692307692307,0.15748031496062992,0.38461538461538464,0.223463687150838,127,0.24358974358974358,0.36538461538461536,0.2923076923076923,78,0.24193548387096775,0.28846153846153844,0.2631578947368421,62,0.25925925925925924,0.2692307692307692,0.2641509433962264,54,0.24528301886792453,0.25,0.24761904761904763,53,0.28888888888888886,0.25,0.26804123711340205,45,0.2558139534883721,0.21153846153846154,0.23157894736842105,43,0.2702702702702703,0.19230769230769232,0.22471910112359553,37,0.3076923076923077,0.15384615384615385,0.20512820512820515,26
MassSpecGymID0179016,69,0.1798538714647293,0.031124774366617203,0.15942028985507245,0.17391304347826086,0.21739130434782608,0.2608695652173913,0.30434782608695654,0.3333333333333333,0.37681159420289856,0.43478260869565216,0.4782608695652174,0.5507246376811594,0.5797101449275363,0.5942028985507246,0.6811594202898551,0.15151515151515152,0.43478260869565216,0.2247191011235955,198,0.23232323232323232,0.3333333333333333,0.2738095238095238,99,0.2982456140350877,0.2463768115942029,0.2698412698412698,57,0.3191489361702128,0.21739130434782608,0.25862068965517243,47,0.3409090909090909,0.21739130434782608,0.2654867256637168,44,0.4,0.17391304347826086,0.24242424242424243,30,0.4074074074074074,0.15942028985507245,0.22916666666666666,27,0.4782608695652174,0.15942028985507245,0.2391304347826087,23,0.55,0.15942028985507245,0.24719101123595502,20
MassSpecGymID0182450,56,0.3029364049434662,0.06540250778198242,0.23214285714285715,0.2857142857142857,0.30357142857142855,0.35714285714285715,0.375,0.42857142857142855,0.5178571428571429,0.6071428571428571,0.6964285714285714,0.7857142857142857,0.8392857142857143,0.8928571428571429,0.9464285714285714,0.2185430463576159,0.5892857142857143,0.3188405797101449,151,0.25,0.44642857142857145,0.32051282051282054,100,0.25925925925925924,0.375,0.3065693430656934,81,0.2876712328767123,0.375,0.3255813953488372,73,0.2857142857142857,0.35714285714285715,0.3174603174603175,70,0.31746031746031744,0.35714285714285715,0.3361344537815126,63,0.3333333333333333,0.3392857142857143,0.33628318584070793,57,0.3584905660377358,0.3392857142857143,0.34862385321100914,53,0.37777777777777777,0.30357142857142855,0.33663366336633654,45
MassSpecGymID0185118,67,0.2219914197921753,0.022585075348615646,0.13432835820895522,0.16417910447761194,0.208955223880597,0.22388059701492538,0.2537313432835821,0.29850746268656714,0.373134328358209,0.40298507462686567,0.4626865671641791,0.5373134328358209,0.6119402985074627,0.7014925373134329,0.7014925373134329,0.15135135135135136,0.417910447761194,0.22222222222222224,185,0.2033898305084746,0.3582089552238806,0.2594594594594594,118,0.21505376344086022,0.29850746268656714,0.25,93,0.2159090909090909,0.2835820895522388,0.24516129032258066,88,0.2261904761904762,0.2835820895522388,0.25165562913907286,84,0.2077922077922078,0.23880597014925373,0.22222222222222224,77,0.21621621621621623,0.23880597014925373,0.22695035460992904,74,0.23809523809523808,0.22388059701492538,0.23076923076923075,63,0.2727272727272727,0.22388059701492538,0.24590163934426232,55
MassSpecGymID0186133,53,0.2525867521762848,0.035352569073438644,0.1509433962264151,0.24528301886792453,0.2641509433962264,0.3018867924528302,0.33962264150943394,0.33962264150943394,0.4339622641509434,0.5094339622641509,0.6415094339622641,0.7735849056603774,0.8679245283018868,0.9433962264150944,0.9433962264150944,0.17355371900826447,0.39622641509433965,0.24137931034482762,121,0.23076923076923078,0.33962264150943394,0.2748091603053435,78,0.24242424242424243,0.3018867924528302,0.26890756302521013,66,0.2857142857142857,0.3018867924528302,0.2935779816513761,56,0.2830188679245283,0.2830188679245283,0.2830188679245283,53,0.30434782608695654,0.2641509433962264,0.2828282828282829,46,0.32558139534883723,0.2641509433962264,0.29166666666666663,43,0.37142857142857144,0.24528301886792453,0.29545454545454547,35,0.4482758620689655,0.24528301886792453,0.3170731707317073,29
MassSpecGymID0192057,62,0.17930640280246735,0.020161602646112442,0.11290322580645161,0.20967741935483872,0.24193548387096775,0.24193548387096775,0.27419354838709675,0.2903225806451613,0.3709677419354839,0.41935483870967744,0.46774193548387094,0.532258064516129,0.5483870967741935,0.6290322580645161,0.6774193548387096,0.1643835616438356,0.3870967741935484,0.23076923076923075,146,0.2073170731707317,0.27419354838709675,0.2361111111111111,82,0.2542372881355932,0.24193548387096775,0.24793388429752067,59,0.3,0.24193548387096775,0.26785714285714285,50,0.30612244897959184,0.24193548387096775,0.2702702702702703,49,0.325,0.20967741935483872,0.2549019607843137,40,0.3611111111111111,0.20967741935483872,0.2653061224489796,36,0.40625,0.20967741935483872,0.2765957446808511,32,0.52,0.20967741935483872,0.29885057471264365,25
MassSpecGymID0196090,34,0.23086607456207275,0.05003632605075836,0.17647058823529413,0.20588235294117646,0.47058823529411764,0.7058823529411765,0.7941176470588235,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9117647058823529,1.0,1.0,1.0,1.0,0.3469387755102041,0.5,0.4096385542168675,49,0.3,0.35294117647058826,0.3243243243243243,40,0.2702702702702703,0.29411764705882354,0.28169014084507044,37,0.2702702702702703,0.29411764705882354,0.28169014084507044,37,0.2702702702702703,0.29411764705882354,0.28169014084507044,37,0.21212121212121213,0.20588235294117646,0.20895522388059704,33,0.21212121212121213,0.20588235294117646,0.20895522388059704,33,0.21212121212121213,0.20588235294117646,0.20895522388059704,33,0.21212121212121213,0.20588235294117646,0.20895522388059704,33
