mode,alpha_primary,value,mean_tanimoto,median_tanimoto,bit_accuracy,bit_precision,bit_recall,bit_f1,mean_active_bits,mean_target_active_bits
top_k,0.95,64,0.49666862513901106,0.5068492889404297,0.9887548005049428,0.6389930026781494,0.6404797014284621,0.639735488309528,64.0,63.8514404296875
top_k,1.0,64,0.49650361059273745,0.5099999904632568,0.9887303646476068,0.6382110552433965,0.639695934693233,0.638952632281516,64.0,63.8514404296875
threshold,0.8,0.5,0.4960815501635311,0.4583333432674408,0.9914280653488159,0.8513805195422194,0.5453108461637785,0.6648097681684283,40.896968841552734,63.8514404296875
top_k,0.9,64,0.49589521526423336,0.5057471394538879,0.9887522876885535,0.6389125925536943,0.6403991042195929,0.6396549847515582,64.0,63.8514404296875
threshold,0.9,0.125,0.4936868956189587,0.5,0.9870972391224794,0.5660584627453552,0.7382326018999559,0.6407815296865994,83.27269744873047,63.8514404296875
threshold,0.6,0.4,0.49277303367755354,0.4545454680919647,0.9909589379135377,0.7955970583775237,0.5652479638924505,0.6609270122127128,45.36454391479492,63.8514404296875
threshold,0.6,0.35,0.49196038600162023,0.4615384638309479,0.9903973234505461,0.7373531262740409,0.5964588218168421,0.6594644433795589,51.650630950927734,63.8514404296875
top_k,0.8,64,0.49005014901056526,0.49367088079452515,0.9886208007248398,0.6347050097148559,0.6361817319024313,0.6354425128610596,64.0,63.8514404296875
threshold,1.0,0.6,0.4878935366164722,0.44999998807907104,0.9914095012767159,0.8643862555856543,0.5324679276566032,0.6589921320752796,39.33293151855469,63.8514404296875
threshold,0.6,0.3,0.4856618951881097,0.4615384638309479,0.9896167606289057,0.6825123411784061,0.6243660165980905,0.6521456403419555,58.41164779663086,63.8514404296875
threshold,0.95,0.6,0.48238018691717394,0.4404761791229248,0.9913653603235113,0.8690705263415736,0.5252248703248479,0.6547499985902995,38.58877182006836,63.8514404296875
threshold,0.7,0.2,0.48143191233422866,0.4736842215061188,0.9881006349117786,0.6040395115217836,0.6870336361759749,0.6428690159574468,72.6245346069336,63.8514404296875
threshold,0.8,0.15,0.4799853064693389,0.48235294222831726,0.9871442134043678,0.569122705529557,0.7217307345942137,0.6364058623056531,80.97295379638672,63.8514404296875
top_k,0.7,64,0.4786328357482842,0.4761904776096344,0.9883316729941777,0.6254529223336659,0.6269081183594685,0.6261796749052749,64.0,63.8514404296875
threshold,0.7,0.5,0.47783583943713354,0.43589743971824646,0.9912354631007785,0.8596365582214919,0.5231926692726431,0.6504860275701075,38.86131286621094,63.8514404296875
top_k,0.95,80,0.4770348679528829,0.46846845746040344,0.9868161626606562,0.5615652733287823,0.7035897832346292,0.6246057933906533,80.0,63.8514404296875
top_k,1.0,80,0.4765910338364901,0.4699999988079071,0.9867814960508783,0.5606778081184687,0.7024778707204321,0.6236187025961875,80.0,63.8514404296875
top_k,0.9,80,0.4763263228707333,0.46590909361839294,0.986812060103286,0.5614602478601061,0.7034581959548425,0.6244889779120182,80.0,63.8514404296875
threshold,0.9,0.6,0.4751845949309335,0.43103447556495667,0.9913013347875532,0.8744774014448805,0.5160663956516983,0.6490818938386577,37.68145751953125,63.8514404296875
top_k,0.95,48,0.4746026239979341,0.4886363744735718,0.9895477222806609,0.719155332668172,0.5406214044803824,0.6172375699945587,48.0,63.8514404296875
top_k,1.0,48,0.47423161228119354,0.4897959232330322,0.9895237223200454,0.7181313343485796,0.5398516188936306,0.6163586913910742,48.0,63.8514404296875
top_k,0.9,48,0.4741772598011985,0.4848484992980957,0.9895527735544228,0.7193708536820179,0.5407834213186197,0.6174225476493518,48.0,63.8514404296875
threshold,0.6,0.45,0.4735356716537234,0.43103447556495667,0.9910096044970593,0.8355891953360449,0.5269609999975328,0.6463217567608461,40.26765823364258,63.8514404296875
threshold,1.0,0.1,0.47300226818385765,0.4765625,0.9853298445869217,0.520298650722914,0.75519584710545,0.6161177189701804,92.6781997680664,63.8514404296875
threshold,0.6,0.25,0.47203866626107005,0.4545454680919647,0.9884589035546198,0.6241666273380843,0.6526136934657869,0.6380732556227469,66.76154327392578,63.8514404296875
top_k,0.8,80,0.47045590270367177,0.4523809552192688,0.9866447783265176,0.5571778343748359,0.6980927246215426,0.6197258267706763,80.0,63.8514404296875
top_k,0.8,48,0.46990863843333636,0.4752475321292877,0.9894763890643872,0.716111782107161,0.5383334306530924,0.6146253474786465,48.0,63.8514404296875
threshold,0.95,0.1,0.4690998580819502,0.47058823704719543,0.9851101782807331,0.5152216755095624,0.7587725538541503,0.6137171700105035,94.03471374511719,63.8514404296875
top_k,0.6,64,0.46181088041443535,0.44999998807907104,0.9878962121703185,0.6115181759701728,0.6129409510306163,0.6122287368950682,64.0,63.8514404296875
top_k,0.7,80,0.46091030417616136,0.43589743971824646,0.9863484454794741,0.5495917134905215,0.6885880109184546,0.6112880987295223,80.0,63.8514404296875
